YYYYMMDD HH:MM:SS,MMDD HH,ICM-Hydro compartment->,346,347,348,349,350,351,352,353,354,384,498,572,703,705,726,979,1335,1337,1338,1421,1422,1424
20100103 09:00:00,0103 09,1/3/10 9:00,0.091705275,0.002899854,-0.056303761,-0.115507375,-0.204312796,-0.204312796,-0.056363505,0.091585787,0.091585787,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.128830599,0.128830599,0.1339,0.1339,0.128830599,0.128830599
20100103 10:00:00,0103 10,1/3/10 10:00,0.145959307,0.056336036,-0.003412812,-0.063161659,-0.15278493,-0.15278493,-0.017615837,0.117553256,0.117553256,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.136545191,0.136545191,0.142,0.142,0.136545191,0.136545191
20100103 11:00:00,0103 11,1/3/10 11:00,0.119898337,0.04125166,-0.011179458,-0.063610575,-0.142257252,-0.142257252,-0.008810246,0.124636761,0.124636761,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17952232,0.17952232,0.1701,0.1701,0.17952232,0.17952232
20100103 12:00:00,0103 12,1/3/10 12:00,0.12344659,0.024068383,-0.042183756,-0.108435894,-0.207814101,-0.207814101,-0.065351335,0.077111432,0.077111432,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.163271159,0.163271159,0.173,0.173,0.163271159,0.163271159
20100103 13:00:00,0103 13,1/3/10 13:00,0.045572795,-0.023286665,-0.069192971,-0.115099277,-0.183958737,-0.183958737,-0.08351521,0.016928317,0.016928317,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.165236835,0.165236835,0.1677,0.1677,0.165236835,0.165236835
20100103 14:00:00,0103 14,1/3/10 14:00,-0.023944917,-0.082754509,-0.121960904,-0.161167298,-0.21997689,-0.21997689,-0.105026132,0.009924626,0.009924626,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.203583954,0.203583954,0.1741,0.1741,0.203583954,0.203583954
20100103 15:00:00,0103 15,1/3/10 15:00,-0.050972255,-0.100456133,-0.133445385,-0.166434636,-0.215918514,-0.215918514,-0.137549901,-0.059181287,-0.059181287,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.212240136,0.212240136,0.1691,0.1691,0.212240136,0.212240136
20100103 16:00:00,0103 16,1/3/10 16:00,-0.062673755,-0.113991897,-0.148203992,-0.182416086,-0.233734228,-0.233734228,-0.117561327,-0.001388426,-0.001388426,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.241933643,0.241933643,0.1574,0.1574,0.241933643,0.241933643
20100103 17:00:00,0103 17,1/3/10 17:00,-0.142328647,-0.182866472,-0.209891689,-0.236916905,-0.27745473,-0.27745473,-0.166095189,-0.054735648,-0.054735648,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.236855316,0.236855316,0.1776,0.1776,0.236855316,0.236855316
20100103 18:00:00,0103 18,1/3/10 18:00,-0.124479461,-0.171000811,-0.202015045,-0.233029279,-0.279550629,-0.279550629,-0.169896039,-0.060241449,-0.060241449,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.224948568,0.224948568,0.1895,0.1895,0.224948568,0.224948568
20100103 19:00:00,0103 19,1/3/10 19:00,-0.125313136,-0.171342466,-0.202028687,-0.232714907,-0.278744237,-0.278744237,-0.185372821,-0.092001404,-0.092001404,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.204612121,0.204612121,0.0689,0.0689,0.204612121,0.204612121
20100103 20:00:00,0103 20,1/3/10 20:00,-0.237312801,-0.24803677,-0.255186083,-0.262335396,-0.273059365,-0.273059365,-0.201085411,-0.129111456,-0.129111456,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.194592228,0.194592228,0.1498,0.1498,0.194592228,0.194592228
20100103 21:00:00,0103 21,1/3/10 21:00,-0.258267283,-0.263661674,-0.267257935,-0.270854195,-0.276248586,-0.276248586,-0.2067168,-0.137185013,-0.137185013,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.181162795,0.181162795,0.154,0.154,0.181162795,0.181162795
20100103 22:00:00,0103 22,1/3/10 22:00,-0.190628637,-0.215565515,-0.2321901,-0.248814685,-0.273751563,-0.273751563,-0.21648753,-0.159223496,-0.159223496,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.109920789,0.109920789,0.1185,0.1185,0.109920789,0.109920789
20100103 23:00:00,0103 23,1/3/10 23:00,-0.142312249,-0.173717697,-0.194654663,-0.215591628,-0.246997076,-0.246997076,-0.20395832,-0.160919563,-0.160919563,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.076020728,0.076020728,0.1041,0.1041,0.076020728,0.076020728
20100104 00:00:00,0104 00,1/4/10 0:00,-0.128002467,-0.167316095,-0.19352518,-0.219734265,-0.259047892,-0.259047892,-0.194685357,-0.130322822,-0.130322822,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.077490881,0.077490881,0.0993,0.0993,0.077490881,0.077490881
20100104 01:00:00,0104 01,1/4/10 1:00,-0.118681821,-0.1524181,-0.174908953,-0.197399806,-0.231136085,-0.231136085,-0.177466072,-0.123796058,-0.123796058,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.044487087,0.044487087,0.0798,0.0798,0.044487087,0.044487087
20100104 02:00:00,0104 02,1/4/10 2:00,-0.086699154,-0.134162965,-0.165805505,-0.197448045,-0.244911856,-0.244911856,-0.162118049,-0.079324241,-0.079324241,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.037389184,0.037389184,0.0866,0.0866,0.037389184,0.037389184
