ICM_ID,new_area_m2,old_area_m2,new-old,old_comp_to_use_for_new_rain
411,71225400,71225400,0,411
412,23728600,23728600,0,412
413,259727000,259727000,0,413
414,21997900,21997900,0,414
415,68602700,68602700,0,415
416,118124000,118124000,0,416
417,69701600,69701600,0,417
418,61806100,61806100,0,418
419,465236000,465236000,0,419
420,54974000,54974000,0,420
421,11210800,11210800,0,421
422,10487100,10487100,0,422
423,30420600,30420600,0,423
424,22788800,22788800,0,424
425,76751100,76751100,0,425
426,25243100,25243100,0,426
427,9070870,9070870,0,427
428,21900000,21900000,0,428
429,1081740,1081740,0,429
430,25204400,25204400,0,430
431,10835300,10835300,0,431
432,14718800,14718800,0,432
433,56668700,56668700,0,433
434,3511920,3511920,0,434
435,10751700,10751700,0,435
436,46048300,46048300,0,436
437,18539700,18539700,0,437
438,99181000,99181000,0,438
439,100572000,100572000,0,439
440,135084000,135084000,0,440
441,54963400,54963400,0,441
442,23891900,23891900,0,442
443,26285300,26285300,0,443
444,7597460,7597460,0,444
445,11652300,11652300,0,445
446,10407800,10407800,0,446
447,6118880,6118880,0,447
448,11752600,11752600,0,448
449,10751200,10751200,0,449
450,74825300,74825300,0,450
451,20987300,20987300,0,451
452,5632570,5632570,0,452
453,21183500,21183500,0,453
454,25469300,25469300,0,454
455,5170740,5170740,0,455
456,159862000,159862000,0,456
457,308303000,308303000,0,457
458,136218000,127452000,8766000,458
459,78243200,78243200,0,459
460,59082700,59082700,0,460
461,41533500,41533500,0,461
462,27409500,27409500,0,462
463,3046240,3046240,0,463
464,39252200,39252200,0,464
465,8488790,8488790,0,465
466,16790100,21200500,-4410400,466
467,56723200,56723200,0,467
468,3613440,3613440,0,468
469,49893100,49893100,0,469
470,2126440,2126440,0,470
471,11519700,11519700,0,471
472,23213500,18803200,4410300,472
473,2942170,2942170,0,473
474,17233000,19039200,-1806200,474
475,13164800,13164800,0,475
476,15563500,15563500,0,476
477,11817000,11817000,0,477
478,158859000,158859000,0,478
479,1549620,1549620,0,479
480,115542000,115542000,0,480
481,94685600,94685600,0,481
482,251237000,251237000,0,482
483,141671000,141671000,0,483
484,65277400,65277400,0,484
485,26264600,26264600,0,485
486,103042000,103042000,0,486
487,1958380,1958380,0,487
488,69796800,69796800,0,488
489,69244600,69244600,0,489
490,13405600,14879200,-1473600,490
491,3801010,3801010,0,491
492,895583,895583,0,492
493,20568100,20568100,0,493
494,323150000,323150000,0,494
495,5688970,5688970,0,495
496,28195400,45358600,-17163200,496
497,83116000,83116000,0,497
498,715028000,715028000,0,498
499,33452400,33452400,0,499
500,79191200,79191200,0,500
501,379527000,379527000,0,501
502,134200000,134200000,0,502
503,1936770,1936770,0,503
504,181916000,181916000,0,504
505,26161900,26161900,0,505
506,8517450,6001690,2515760,506
507,20826700,20826700,0,507
508,15588100,15588100,0,508
509,24661200,24661200,0,509
510,30267300,30267300,0,510
511,19586000,19586000,0,511
512,40773800,40773800,0,512
513,2060910,2060910,0,513
514,102109000,102109000,0,514
515,23639000,23639000,0,515
516,836311,836311,0,516
517,12301600,12301600,0,517
518,21290600,21290600,0,518
519,19350400,19350400,0,519
520,24894700,24894700,0,520
521,32232500,32232500,0,521
522,56413800,56413800,0,522
523,30066000,30066000,0,523
524,72168400,72168400,0,524
525,22883000,22883000,0,525
526,24281600,24281600,0,526
527,29298300,29298300,0,527
528,28664500,28664500,0,528
529,60472900,60472900,0,529
530,41422100,41422100,0,530
531,31828400,31828400,0,531
532,47924600,47924600,0,532
533,4914960,4914960,0,533
534,4778420,4778420,0,534
535,16346100,16346100,0,535
536,5657180,5657180,0,536
537,13892700,13892700,0,537
538,18341300,18341300,0,538
539,3544390,6060150,-2515760,539
540,25023900,25023900,0,540
541,59479200,59479200,0,541
542,34479400,34479400,0,542
543,17540400,17540400,0,543
544,16852100,16852100,0,544
545,44651600,44651600,0,545
546,17436500,17436500,0,546
547,30988600,30988600,0,547
548,55870300,55870300,0,548
549,7567390,7567390,0,549
550,38095800,38095800,0,550
551,55883900,55883900,0,551
552,25972200,25972200,0,552
553,23751200,23751200,0,553
554,428580000,428580000,0,554
555,373066000,373066000,0,555
556,39670300,39670300,0,556
